DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/03/2018,9:30,QUEENS,11370,40.76635,-73.88756,"(40.76635, -73.88756)",23 AVENUE                       ,82 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3893599,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/03/2018,9:30,QUEENS,11364,40.752434,-73.75949,"(40.752434, -73.75949)",56 AVENUE                       ,SPRINGFIELD BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,3893328,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/03/2018,9:30,MANHATTAN,10014,40.742275,-73.989235,"(40.742275, -73.989235)",WASHINGTON STREET               ,WEST 13 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3893788,SPORT UTILITY / STATION WAGON,VN,,,
05/03/2018,9:30,BROOKLYN,11208,40.689358,-73.871506,"(40.689358, -73.871506)",,,31        AUTUMN AVENUE                 ,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3893213,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/03/2018,9:30,BRONX,10459,40.81969,-73.90161,"(40.81969, -73.90161)",WESTCHESTER AVENUE              ,PROSPECT AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3893266,PASSENGER VEHICLE,TK,,,
05/03/2018,9:25,,,40.64024,-73.91947,"(40.64024, -73.91947)",FOSTER AVENUE                   ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,Unspecified,Unspecified,,3893615,TK,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
05/03/2018,9:25,,,40.751198,-73.89027,"(40.751198, -73.89027)",35 AVENUE                       ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3894103,PASSENGER VEHICLE,,,,
05/03/2018,9:25,BROOKLYN,11230,40.62391,-73.95606,"(40.62391, -73.95606)",,,1576      OCEAN AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,3893473,PASSENGER VEHICLE,,,,
05/03/2018,9:25,BRONX,10463,40.878296,-73.8991,"(40.878296, -73.8991)",,,3151      KINGSBRIDGE TERRACE           ,0,0,0,0,0,0,0,0,Unspecified,,,,,3893853,SPORT UTILITY / STATION WAGON,,,,
05/03/2018,9:20,,,40.74394,-73.77205,"(40.74394, -73.77205)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3893484,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/03/2018,9:20,,,40.66899,-73.99641,"(40.66899, -73.99641)",15 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3893546,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/03/2018,9:20,BROOKLYN,11238,40.676632,-73.95944,"(40.676632, -73.95944)",CLASSON AVENUE                  ,SAINT MARKS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3893696,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,9:15,BROOKLYN,11236,40.63038,-73.90379,"(40.63038, -73.90379)",AVENUE M                        ,EAST 83 STREET,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,3893613,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,9:10,,,40.7315,-73.872086,"(40.7315, -73.872086)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3893438,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/03/2018,9:10,,,40.701508,-73.88608,"(40.701508, -73.88608)",67 STREET                       ,MYRTLE AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,3893620,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
05/03/2018,9:08,,,40.79537,-73.921974,"(40.79537, -73.921974)",TRIBOROUGH BRIDGE               ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3894136,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/03/2018,9:05,,,40.840603,-73.91152,"(40.840603, -73.91152)",SHERIDAN AVENUE                 ,,,1,0,1,0,0,0,0,0,Passing or Lane Usage Improper,,,,,3893633,PASSENGER VEHICLE,,,,
05/03/2018,9:05,MANHATTAN,10014,40.74238,-74.00882,"(40.74238, -74.00882)",11 AVENUE                       ,WEST 14 STREET,,1,0,0,0,0,0,1,0,,,,,,3893787,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/03/2018,9:00,,,40.75684,-73.810135,"(40.75684, -73.810135)",45 AVENUE                       ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3892921,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
05/03/2018,9:00,QUEENS,11357,40.777634,-73.82157,"(40.777634, -73.82157)",146 STREET                      ,24 AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3892925,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
05/03/2018,9:00,QUEENS,11415,40.70703,-73.831665,"(40.70703, -73.831665)",LEFFERTS BOULEVARD              ,ABINGDON ROAD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3896086,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
05/03/2018,9:00,QUEENS,11413,40.666397,-73.7532,"(40.666397, -73.7532)",224 STREET                      ,NORTH CONDUIT AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3893469,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
